"groupe","nb_menages","age_chef","pct_femme_chef","taille_menage","pct_urbain","incidence_pauvrete","fies_score","fies_modere_pct","fies_severe_pct","hdds_moyen"
"1. Producteur-Conso",1056747,47.2645010516476,9.22037157427464,7.48405720574556,10.3671929042619,39.1492949589637,2.87566844287232,49.6660033101584,17.850251763194,4.78857380243332
"2. Producteur seul",263594,43.8625583203733,7.28810215710524,8.16683611918329,2.8968792916379,50.4556249383522,3.35591098431679,58.5373718673414,21.4451011783273,4.20998581151316
"3. Conso seul",1093626,41.6960478419137,18.6684478971787,6.03724307944398,63.2398095875555,17.5350622607729,2.42231896461862,42.9222604436983,13.6658235996584,5.22038795712611
"4. Ni prod ni conso",819001,43.8319181783095,17.0069389414665,5.91604772155345,19.6798294507577,47.9374262058288,3.46755742666981,61.1455907868244,27.3408701576677,3.83400630768461
